ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
USER	rendimiento09	90	START	1591090560741	1591090560741
REQUEST	90		Home	1591090560742	1591090560749	OK	 
REQUEST	15		Logged	1591090560792	1591090560795	OK	 
REQUEST	53		Login	1591090560792	1591090560795	OK	 
REQUEST	15		Logged Redirect 1	1591090560796	1591090560800	OK	 
USER	rendimiento09	91	START	1591090560877	1591090560877
REQUEST	91		Home	1591090560877	1591090560883	OK	 
REQUEST	54		Login	1591090560907	1591090560909	OK	 
REQUEST	16		Logged	1591090560940	1591090560941	OK	 
REQUEST	16		Logged Redirect 1	1591090560942	1591090560944	OK	 
USER	rendimiento09	92	START	1591090561006	1591090561006
REQUEST	92		Home	1591090561008	1591090561019	OK	 
REQUEST	17		Logged	1591090561039	1591090561042	OK	 
REQUEST	17		Logged Redirect 1	1591090561044	1591090561049	OK	 
REQUEST	55		Login	1591090561060	1591090561064	OK	 
USER	rendimiento09	93	START	1591090561130	1591090561130
REQUEST	93		Home	1591090561132	1591090561140	OK	 
REQUEST	18		Logged	1591090561178	1591090561181	OK	 
REQUEST	18		Logged Redirect 1	1591090561183	1591090561197	OK	 
REQUEST	56		Login	1591090561208	1591090561210	OK	 
USER	rendimiento09	94	START	1591090561259	1591090561259
REQUEST	94		Home	1591090561260	1591090561271	OK	 
REQUEST	19		Logged	1591090561291	1591090561293	OK	 
REQUEST	19		Logged Redirect 1	1591090561294	1591090561297	OK	 
REQUEST	57		Login	1591090561342	1591090561344	OK	 
USER	rendimiento09	95	START	1591090561377	1591090561377
REQUEST	95		Home	1591090561379	1591090561388	OK	 
REQUEST	20		Logged	1591090561408	1591090561411	OK	 
REQUEST	20		Logged Redirect 1	1591090561413	1591090561418	OK	 
REQUEST	58		Login	1591090561479	1591090561482	OK	 
USER	rendimiento09	96	START	1591090561509	1591090561509
REQUEST	96		Home	1591090561511	1591090561522	OK	 
REQUEST	21		Logged	1591090561542	1591090561545	OK	 
REQUEST	21		Logged Redirect 1	1591090561546	1591090561551	OK	 
REQUEST	59		Login	1591090561618	1591090561621	OK	 
USER	rendimiento09	97	START	1591090561627	1591090561627
REQUEST	97		Home	1591090561629	1591090561639	OK	 
REQUEST	22		Logged	1591090561670	1591090561674	OK	 
REQUEST	22		Logged Redirect 1	1591090561676	1591090561681	OK	 
USER	rendimiento09	98	START	1591090561760	1591090561760
REQUEST	98		Home	1591090561761	1591090561768	OK	 
REQUEST	60		Login	1591090561771	1591090561773	OK	 
REQUEST	23		Logged	1591090561792	1591090561794	OK	 
REQUEST	23		Logged Redirect 1	1591090561795	1591090561798	OK	 
USER	rendimiento09	99	START	1591090561878	1591090561878
REQUEST	99		Home	1591090561880	1591090561890	OK	 
REQUEST	24		Logged	1591090561907	1591090561911	OK	 
REQUEST	61		Login	1591090561907	1591090561911	OK	 
REQUEST	24		Logged Redirect 1	1591090561913	1591090561917	OK	 
USER	rendimiento09	100	START	1591090562007	1591090562007
REQUEST	100		Home	1591090562009	1591090562018	OK	 
REQUEST	62		Login	1591090562039	1591090562042	OK	 
REQUEST	25		Logged	1591090562049	1591090562052	OK	 
REQUEST	25		Logged Redirect 1	1591090562054	1591090562058	OK	 
USER	rendimiento09	101	START	1591090562156	1591090562156
REQUEST	101		Home	1591090562158	1591090562166	OK	 
REQUEST	63		Login	1591090562177	1591090562180	OK	 
REQUEST	26		Logged	1591090562198	1591090562202	OK	 
REQUEST	26		Logged Redirect 1	1591090562203	1591090562208	OK	 
REQUEST	64		Login	1591090562291	1591090562294	OK	 
USER	rendimiento09	102	START	1591090562300	1591090562300
REQUEST	102		Home	1591090562302	1591090562312	OK	 
REQUEST	27		Logged	1591090562331	1591090562334	OK	 
REQUEST	27		Logged Redirect 1	1591090562335	1591090562337	OK	 
REQUEST	65		Login	1591090562407	1591090562410	OK	 
USER	rendimiento09	103	START	1591090562436	1591090562436
REQUEST	103		Home	1591090562438	1591090562447	OK	 
REQUEST	28		Logged	1591090562492	1591090562495	OK	 
REQUEST	28		Logged Redirect 1	1591090562497	1591090562503	OK	 
REQUEST	66		Login	1591090562537	1591090562540	OK	 
USER	rendimiento09	104	START	1591090562577	1591090562577
REQUEST	104		Home	1591090562579	1591090562590	OK	 
REQUEST	29		Logged	1591090562630	1591090562633	OK	 
REQUEST	29		Logged Redirect 1	1591090562635	1591090562640	OK	 
REQUEST	67		Login	1591090562651	1591090562654	OK	 
USER	rendimiento09	105	START	1591090562731	1591090562731
